square_footage,bedrooms,bathrooms,year_built,lot_size,distance_to_city_center,school_rating,price
3447,3,2,1998,46913,8.2,8,450000
2219,3,3,2006,1489,12.0,5,450000
780,5,1,1975,45516,18.0,8,383344
3766,5,2,1967,23260,19.6,6,450000
2387,6,1,1987,27069,4.7,5,450000
3766,1,4,1999,20275,29.3,9,450000
1166,4,2,1957,37284,16.4,7,419062
4688,1,3,1990,40178,4.2,8,450000
1171,6,3,1955,33821,26.8,1,334252
2469,5,3,2018,17999,2.3,2,450000
4656,2,2,1993,39712,27.2,8,450000
3622,5,1,2013,41172,29.9,9,450000
4400,4,4,1978,34722,21.0,4,450000
1023,5,1,1977,11625,23.1,10,394560
2893,4,1,1960,2629,10.2,10,450000
3617,4,4,2014,11973,28.3,9,450000
3093,4,4,1968,7859,15.9,4,450000
2468,6,2,1958,42609,22.0,10,450000
2253,4,2,1976,44307,27.7,10,450000
2796,4,2,1983,46450,29.3,10,450000
2761,2,2,1993,37046,25.0,9,450000
2786,1,2,2017,22839,9.2,7,450000
4702,3,4,1964,28216,29.0,2,450000
3378,1,1,2000,19945,18.9,9,450000
4643,4,2,1962,7539,27.9,4,450000
4144,2,2,1998,34625,20.3,8,450000
4932,5,1,2019,5886,9.3,7,450000
2555,2,2,2005,46713,11.2,7,450000
1776,4,1,2000,8485,16.6,8,450000
3266,2,1,1986,32455,23.7,1,450000
802,2,4,1966,47448,9.6,5,450000
1138,4,3,2007,17767,17.4,2,386979
555,6,4,1978,48165,10.4,2,433385
1025,2,3,1982,29453,24.5,1,286603
4623,3,3,2009,11744,14.1,5,450000
2625,3,3,2004,38102,2.4,2,450000
3787,2,2,1959,13226,5.1,4,450000
864,6,4,1996,28869,1.9,3,450000
2146,5,3,1972,23588,15.0,3,450000
1418,4,1,1970,14440,3.3,2,401292
3297,3,2,1962,32709,3.5,6,450000
2031,5,4,1982,48788,28.2,2,450000
3845,2,3,1973,23495,26.2,8,450000
2406,5,1,1960,38019,13.6,8,450000
3586,1,4,1966,45948,29.6,5,450000
2575,3,4,2017,49908,0.1,10,450000
1213,2,2,1996,1922,18.5,7,356405
1562,4,4,1974,28526,18.5,4,450000
2476,6,2,2022,8957,13.8,1,450000
1796,2,3,1970,49564,12.0,2,450000
625,4,2,1961,34998,13.7,10,450000
4096,6,1,1986,44395,12.5,10,450000
3783,6,2,1991,25031,21.9,4,450000
2103,2,1,1966,11006,4.1,1,450000
566,5,2,1997,38701,6.0,8,417936
732,5,4,1977,48063,5.5,9,450000
2656,6,3,1990,26939,7.9,4,450000
1669,5,1,1996,21324,15.8,10,450000
2658,1,2,1967,23867,3.4,3,450000
4706,6,2,2020,1203,26.1,2,450000
1993,6,2,1962,17544,9.0,5,450000
4507,4,4,1962,16899,5.0,3,450000
2972,5,4,1980,30063,20.3,10,450000
3160,6,1,1951,26344,1.2,7,450000
3239,1,1,1965,4748,18.6,6,450000
2261,4,4,1958,40486,21.0,1,450000
4014,2,1,2022,2093,6.5,8,450000
2475,6,3,1987,16228,1.4,2,450000
2862,1,3,2003,21884,11.0,5,450000
1376,3,4,2005,26183,3.0,9,450000
4312,1,1,1994,17034,3.6,8,450000
3948,1,2,1983,6710,7.7,2,450000
1812,4,3,1958,43500,8.9,9,450000
1960,2,4,1957,20259,15.9,5,450000
3209,3,1,1956,36959,20.4,10,450000
2824,5,4,1985,34457,17.8,6,450000
2233,5,2,1967,21143,4.5,3,450000
2105,1,3,1952,3103,5.2,3,450000
3063,4,4,1977,1365,26.4,10,450000
3921,4,4,2019,47778,16.8,8,450000
4017,5,4,1993,45535,26.1,10,450000
2897,3,2,1970,17103,11.2,10,450000
4235,2,4,1977,33510,18.5,2,450000
3370,3,2,2003,25476,15.8,2,450000
1660,6,2,2003,13742,9.6,5,450000
742,6,2,2014,13391,14.2,6,368005
3090,2,3,1970,37940,15.1,2,450000
1563,5,3,1962,29901,6.1,5,450000
4824,2,4,2006,33001,9.5,7,450000
3095,4,4,1998,16623,23.8,10,450000
1419,6,3,2003,3378,27.5,10,450000
505,1,1,1959,22372,10.9,8,288391
967,1,3,2002,45799,9.3,7,433465
4670,5,2,1993,39437,5.9,8,450000
503,4,3,1996,36503,20.4,9,387807
1145,3,2,2002,31746,9.8,5,430474
617,4,4,2023,28923,29.6,5,337263
3428,1,1,1995,10867,9.8,10,450000
3051,1,4,1962,42258,11.9,4,450000
4789,6,2,1986,34724,18.1,9,450000
1346,4,2,1973,10306,24.1,5,331642
3262,4,2,1951,40391,14.1,2,450000
1641,1,1,1963,15908,12.7,10,450000
2310,3,3,1959,28081,29.9,8,450000
1223,5,4,1984,38228,0.4,7,450000
724,5,4,1974,24386,26.9,8,425154
4708,4,3,1952,47754,4.6,3,450000
2548,5,4,1966,46406,23.6,4,450000
4915,1,1,1961,29302,18.6,5,450000
2073,1,4,2003,20212,10.3,6,450000
2328,4,2,1973,36618,26.2,1,450000
2417,4,3,1978,47067,0.5,4,450000
4734,6,1,1992,11698,6.9,10,450000
2526,4,3,1974,5594,17.1,5,450000
4244,3,1,2009,26525,10.6,7,450000
1401,5,2,2014,15282,18.4,5,443826
2539,4,3,1977,15334,0.8,1,450000
509,2,4,1965,30179,3.6,7,419874
760,6,1,1996,7644,3.9,8,406808
2173,2,3,2007,36618,5.8,7,450000
2719,1,4,1976,48701,13.8,4,450000
2560,5,3,2002,33933,22.6,8,450000
4213,4,3,1991,44469,27.2,5,450000
2119,2,3,2008,34687,25.1,10,450000
820,5,1,1996,42073,6.0,9,450000
1842,1,4,1983,18375,13.3,10,450000
2876,3,2,1986,49483,6.1,5,450000
3332,6,1,1955,31926,8.0,1,450000
3324,5,1,1956,37607,15.2,9,450000
2494,5,1,1974,18642,2.1,5,450000
3458,3,2,1982,24993,6.6,6,450000
2538,5,4,2004,45386,28.1,4,450000
3990,1,4,2007,47287,14.0,6,450000
4177,1,4,1956,22188,13.4,8,450000
1618,3,3,2006,33596,0.5,3,450000
2104,6,3,1961,28772,7.5,5,450000
4527,4,3,1965,31857,26.0,2,450000
735,2,2,1992,11776,5.0,2,235192
2469,4,3,1956,33835,12.5,7,450000
4929,5,2,2000,10788,0.5,10,450000
2408,2,4,2022,6660,14.4,10,450000
875,3,3,1981,5478,0.7,10,450000
4030,3,3,1957,9210,24.6,6,450000
3135,6,1,2021,11922,24.8,4,450000
2070,2,2,1994,37289,23.7,5,450000
3060,1,4,2008,34340,8.6,1,450000
3891,2,1,1953,40850,25.1,7,450000
3465,5,1,2016,39163,16.3,8,450000
4143,1,4,1978,49175,11.3,9,450000
4350,3,1,1978,19642,18.8,8,450000
1372,2,2,1977,12094,0.5,5,450000
1752,4,2,1993,23423,4.4,3,450000
1814,6,3,1953,34418,22.3,10,450000
3398,4,1,1958,6741,7.4,9,450000
577,6,3,1954,47049,18.0,6,395987
3121,5,1,2005,7838,11.6,5,450000
4727,4,2,1999,4262,25.7,3,450000
1100,2,2,1964,5996,28.6,6,318355
1565,2,2,1981,45594,26.5,3,331077
2636,4,1,1977,23164,8.2,10,450000
2949,2,2,1971,36595,5.9,6,450000
2843,5,1,1966,31257,14.3,4,450000
2363,1,3,2008,15211,0.3,2,450000
1818,5,1,2020,31453,0.9,8,450000
4097,6,3,2006,6232,16.6,4,450000
4262,5,1,1975,3217,15.7,9,450000
2690,6,3,1974,25229,29.8,7,450000
1492,2,2,1959,15232,6.1,2,430279
3212,1,3,1994,26613,7.8,4,450000
2692,2,2,1960,15026,3.5,5,450000
1748,3,2,2002,29554,27.5,3,390101
3554,2,3,2021,31908,23.4,9,450000
4533,6,1,2017,20610,24.7,5,450000
2497,2,1,1977,47646,27.1,2,450000
4187,2,4,2014,40605,15.8,3,450000
2651,1,1,1998,8031,13.6,9,450000
4518,2,4,1996,48574,10.0,7,450000
3610,1,1,2001,26515,17.7,2,450000
2470,4,1,2003,37484,13.7,9,450000
697,3,2,2009,37182,13.6,4,346477
3126,1,4,2006,1570,28.1,9,450000
1702,6,1,1996,33254,29.5,2,395315
2535,4,4,1980,20288,23.9,10,450000
977,1,2,1995,14288,22.7,4,258212
1754,1,2,1975,30877,20.4,5,377566
1422,3,4,1954,19889,5.1,2,450000
919,6,2,2001,1917,1.9,10,450000
2704,5,3,2003,11066,20.8,1,450000
3097,5,3,1982,30504,21.9,7,450000
1620,1,2,1999,7982,1.5,10,450000
3568,2,3,1987,40104,27.8,1,450000
1450,6,1,1976,19062,2.8,8,450000
2836,4,4,1964,17999,8.6,3,450000
2743,2,1,2010,10941,20.2,10,450000
3145,2,4,1970,24470,5.2,6,450000
2357,6,2,1995,46148,1.8,7,450000
2365,1,1,2018,22133,10.0,10,450000
3412,1,2,1955,45435,23.0,1,450000
3353,1,2,1987,5529,12.5,6,450000
3728,1,4,2011,18519,19.6,7,450000
4219,5,4,2011,13192,17.4,6,450000
3728,1,4,2023,9566,0.8,4,450000
2871,5,1,1995,8226,29.7,1,450000
3391,5,3,1962,38930,1.3,9,450000
4256,1,4,1952,22259,29.0,4,450000
4725,3,4,1955,35087,16.5,7,450000
594,4,1,1957,2141,28.9,7,193161
3174,2,4,1993,5627,3.5,2,450000
2455,5,1,1982,48269,14.8,1,450000
1293,6,2,1999,3690,5.2,8,450000
2334,6,4,1960,41091,1.6,8,450000
2616,4,4,1977,4255,18.6,7,450000
4606,6,2,2019,6213,6.3,8,450000
3825,3,2,1990,37876,17.7,3,450000
3419,6,2,1965,20404,3.5,2,450000
3097,2,4,2017,26380,10.0,7,450000
3705,2,3,1997,26520,23.5,8,450000
1314,5,3,2005,20173,13.2,1,434506
845,1,3,2013,24989,18.9,10,384190
2849,3,4,2008,43570,19.5,9,450000
862,5,2,2011,25519,25.3,4,326515
2943,3,4,1960,23439,9.8,4,450000
2765,1,2,1967,12413,20.7,3,450000
2688,6,4,1968,15995,28.9,6,450000
3505,6,4,2004,24559,21.9,1,450000
3781,1,2,1975,46351,14.7,6,450000
1484,5,3,1955,24513,19.0,2,387817
2139,1,2,1953,6021,22.2,9,450000
1327,4,1,1978,33464,18.4,2,356419
3230,2,1,2008,22119,0.6,7,450000
4031,5,2,1966,30299,5.9,1,450000
4951,3,4,1992,40350,24.3,7,450000
3435,4,1,2015,47223,8.3,5,450000
4376,5,1,1983,26517,22.0,8,450000
626,1,4,1957,14117,11.2,4,299545
3677,1,4,1962,23250,15.7,10,450000
3556,1,3,1957,19950,2.1,7,450000
1103,1,4,2014,18359,5.5,6,450000
3949,3,2,1992,24596,28.7,5,450000
4646,4,2,1988,26530,26.7,4,450000
4033,6,3,2008,2262,19.6,7,450000
3867,2,1,1993,41150,13.8,5,450000
3868,3,1,1958,23615,20.3,5,450000
4297,3,4,1986,4327,18.6,1,450000
2292,6,2,2023,30768,17.1,2,450000
3361,6,1,1985,29850,1.9,5,450000
3976,2,3,1977,43788,19.0,3,450000
3917,2,3,1991,17848,23.1,2,450000
2145,6,2,1992,47830,29.8,4,450000
1705,1,3,1991,40542,0.4,4,450000
3530,3,3,2015,16160,21.9,4,450000
3372,5,2,2004,34998,17.2,4,450000
3572,2,4,2021,28230,13.1,3,450000
2354,2,4,1997,10076,3.9,7,450000
4521,6,3,1971,4805,12.3,9,450000
3208,4,4,1976,32085,10.7,5,450000
4002,5,4,2016,15715,9.2,4,450000
1832,5,3,1962,6750,22.0,2,417094
701,2,4,1994,49395,21.1,2,310049
4007,1,3,1959,14232,17.7,5,450000
4712,4,1,1958,36903,28.2,7,450000
1074,5,2,2003,7953,10.6,10,450000
1036,2,2,1976,33093,7.4,10,450000
2125,5,4,1983,26500,19.7,9,450000
2622,4,4,1950,23418,6.0,7,450000
885,4,4,1981,35314,9.5,5,450000
3781,3,2,2020,49225,6.8,10,450000
974,6,1,2016,23449,2.2,10,450000
917,6,1,1969,18478,24.8,10,412720
4100,2,2,1984,36179,7.7,6,450000
1454,4,1,1966,47881,14.2,3,439204
1705,3,2,1967,26338,1.4,5,450000
4620,3,1,1994,27899,21.0,8,450000
2490,5,3,2002,5145,10.0,1,450000
4072,5,3,2017,33101,22.4,1,450000
4880,3,2,2014,3775,12.4,7,450000
4658,5,1,1950,46961,6.0,5,450000
3213,4,4,2007,32647,15.4,5,450000
2703,1,1,1975,46619,4.0,1,450000
3620,4,3,1969,46838,13.3,9,450000
1466,3,3,1959,20539,9.6,1,435634
3932,3,1,2008,37738,27.4,5,450000
1188,4,1,1990,27616,1.9,10,450000
4743,5,4,1954,15119,20.9,9,450000
4201,5,4,2014,26159,5.6,4,450000
841,6,1,1966,38099,9.6,8,450000
2224,3,1,1971,11295,12.5,6,450000
4922,2,1,1990,35710,27.2,3,450000
2292,6,1,2017,25685,7.4,4,450000
2259,5,2,2018,26479,2.8,2,450000
3712,4,1,1960,47172,9.6,1,450000
1489,5,4,2005,34629,3.2,8,450000
2762,4,3,2000,43043,3.9,1,450000
2982,6,2,1970,18033,17.3,1,450000
1451,3,1,1975,37902,1.9,4,450000
1222,5,3,1968,45571,1.0,10,450000
3889,4,2,2009,16408,21.5,10,450000
2579,3,3,2020,18420,10.9,6,450000
3217,2,1,1996,17351,3.8,9,450000
2832,4,1,2020,5131,7.7,1,450000
3876,6,4,1975,45825,19.3,7,450000
2000,2,1,1989,12349,8.3,10,450000
785,2,1,1954,45254,14.9,5,321498
3995,1,2,1970,39225,3.7,8,450000
2565,5,4,1953,39847,17.7,7,450000
1268,4,2,1972,13453,9.6,4,402827
3557,2,3,1964,19814,18.8,4,450000
4789,1,1,1957,19263,24.3,6,450000
2661,6,3,1990,13158,18.4,6,450000
3793,3,2,1968,16735,8.9,9,450000
1446,4,1,1995,16830,7.7,5,450000
3835,2,1,1977,48893,9.9,8,450000
4650,5,2,2017,45673,5.0,5,450000
1981,1,2,1964,24926,5.5,2,440422
2401,2,2,1986,46066,23.7,6,450000
3951,5,2,1950,35779,11.6,9,450000
4564,2,2,2016,4373,13.1,3,450000
554,4,1,1973,11335,17.9,1,200695
2323,4,2,1976,24741,17.7,1,450000
3962,4,1,1989,11692,2.1,3,450000
3579,6,1,2012,48295,25.0,10,450000
1332,6,2,2010,46541,5.4,5,450000
4908,1,2,1985,35057,21.7,3,450000
3306,4,4,1973,2447,23.2,9,450000
2990,5,1,1973,20583,21.5,8,450000
827,2,2,1953,23765,17.4,3,251440
3810,3,2,2016,24906,0.5,9,450000
3800,5,2,1983,20567,10.9,6,450000
4175,6,4,2006,15139,18.2,7,450000
3554,6,4,1998,47525,11.7,4,450000
2643,5,3,2002,39230,25.9,4,450000
1811,6,1,1972,20520,9.3,2,450000
3691,4,3,2018,20702,8.9,5,450000
3038,1,2,2002,26566,8.1,8,450000
4483,2,4,2011,8657,10.1,7,450000
664,1,4,1990,38688,16.8,7,351656
4777,2,3,2006,31134,21.2,6,450000
1322,2,4,2009,11345,19.9,3,409891
1443,1,2,2003,42185,24.3,5,412672
4925,5,4,2019,28413,26.6,1,450000
1274,2,3,2006,6208,24.5,7,385613
2698,1,2,1959,34455,0.7,9,450000
3656,2,3,1989,29018,22.1,1,450000
4742,3,4,1956,46991,6.3,2,450000
4195,5,3,1987,9080,4.1,3,450000
3952,4,3,2010,22902,19.2,3,450000
1414,2,1,1952,10486,9.7,8,426089
1808,3,4,2000,39862,1.8,7,450000
4677,4,4,1996,22158,4.2,6,450000
1013,4,3,2017,41460,0.1,10,450000
2420,2,1,1987,44856,27.1,10,450000
4094,1,4,1985,36871,0.8,4,450000
1909,2,2,1990,36208,6.4,9,450000
3690,3,3,2018,21519,12.5,1,450000
4991,4,4,1962,32379,10.8,2,450000
2055,2,2,2007,29378,27.4,4,450000
1304,1,4,1999,40892,1.3,3,450000
1779,2,2,1979,15031,15.4,1,374477
4077,5,3,2011,15536,20.4,5,450000
3401,1,4,1974,1446,28.0,7,450000
1887,3,4,1976,37683,18.6,2,450000
3261,4,1,2000,49555,24.1,5,450000
3179,2,3,2006,18618,2.6,6,450000
2606,1,2,1996,7587,11.6,7,450000
4723,5,4,1988,32480,11.3,1,450000
3268,1,4,1965,33994,26.6,7,450000
